customer_id,region,loan_amount,loan_purpose,credit_score,monthly_income,existing_loans,loan_tenure,default_risk,late_payment_flag
1,East,42395.374426357,Personal,701.4990710444837,33716.505576747826,4,13,1,0
2,West,49976.387640627036,Small Business,401.48159757929136,25668.16040903869,0,33,0,0
3,North,86182.00235420713,Agriculture,490.65183190343737,48402.43361887734,3,41,0,1
4,East,37300.416675689754,Personal,664.8043502718001,14854.030294290718,2,47,0,0
5,East,87616.72005715627,Agriculture,565.149139488464,31453.538719952332,4,14,0,1
6,West,13372.770942785692,Personal,706.2140712491916,36509.45067456002,1,34,1,0
7,North,78795.85153481991,Personal,828.6643456725728,42150.40202054218,4,15,0,0
8,North,85517.02514019996,Small Business,364.10067824335863,23313.69636926032,0,39,0,0
9,East,22272.67701954718,Education,690.2622440189335,35911.48584458667,2,25,1,1
10,South,45882.92057535904,Education,426.689285597663,18644.066212292724,1,17,0,1
11,East,20722.478593047286,Small Business,527.9622000741631,24596.42415628191,2,17,0,1
12,East,72127.3922544507,Personal,318.0744991873269,45303.220904152964,2,52,0,0
13,East,55858.03796585739,Education,374.74906026098444,47745.84241989294,4,48,0,0
14,East,65355.717937290494,Education,475.87750897689483,37346.780611726914,3,18,0,0
15,West,23666.26186084006,Education,488.0921929083917,21845.835084928327,4,24,0,1
16,North,25115.856894979854,Small Business,794.7718690541526,41902.60054885988,1,12,0,0
17,West,8942.245923441105,Agriculture,707.9971000965834,6164.018677643908,0,35,0,1
18,West,35596.415843594325,Agriculture,834.7006325028726,9623.565974273948,4,45,0,0
19,West,58175.74282669912,Agriculture,629.4893306843824,34761.81813689125,3,21,0,1
20,East,86503.81682974624,Agriculture,432.9425526502249,18106.185887152584,3,17,0,1
21,South,68358.10750857467,Agriculture,480.2102664569036,47812.3798280215,4,15,0,1
22,North,46362.65072297639,Education,475.90975781058194,24622.727544153713,1,19,0,1
23,South,95546.41086744309,Education,479.5718802147884,24321.416917512965,3,57,1,0
24,West,73328.29405470402,Personal,670.1302952114986,35513.57795859191,3,59,1,0
25,West,93365.69427194225,Education,591.944360449729,39540.585303778535,1,26,0,1
26,South,55120.85746085574,Small Business,511.98329794765436,26400.143215631142,1,56,0,0
27,South,29595.906105348262,Personal,381.99937280079416,14630.040577027587,1,23,0,1
28,South,10018.53520464859,Education,312.17653961818024,39798.88892265297,1,50,0,0
29,West,73978.06089096579,Personal,420.3590726732309,19415.80736931324,4,58,0,0
30,West,16523.784810525744,Personal,359.1092721827747,12879.984618223592,4,17,0,0
31,North,33763.63718583688,Agriculture,731.9947669687317,33423.8085466256,2,32,0,1
32,North,55584.73624897025,Personal,361.87387679763697,9070.415014565768,2,57,0,0
33,West,58619.57583907603,Education,698.3255305187599,48710.870378872474,2,43,0,0
34,South,62055.40371377792,Agriculture,512.1122793768454,33457.876898546165,3,43,0,0
35,South,20794.25638322156,Education,340.3581143590768,49365.29844147901,1,38,0,0
36,North,41075.05345805663,Agriculture,747.0015271873722,20250.20405653862,4,58,0,0
37,West,63633.45157611184,Education,618.7968136301374,48704.232253567905,4,22,0,0
38,North,97132.79214020955,Agriculture,429.66883207496517,11550.301147788061,1,33,0,0
39,North,74124.95808147042,Agriculture,792.0746458829674,6831.26475561628,2,47,0,0
40,East,92647.356923926,Small Business,324.8920726288033,6484.282720457115,3,34,0,0
41,East,77410.14553984682,Education,411.0007845087696,25919.16667696522,4,48,0,1
42,East,61213.11204477804,Personal,713.6258102932236,8735.188886536765,0,34,0,1
43,South,23242.22006795273,Agriculture,690.157861670439,28047.554787542078,3,38,0,0
44,West,68335.13692978874,Education,459.0994315484629,19737.52265790052,3,45,0,0
45,West,64221.05876619117,Agriculture,334.1136814440307,20103.3046613352,2,31,0,0
46,West,62234.571193440315,Small Business,771.9429397237191,33602.40484453264,1,26,1,0
47,West,51529.65745888287,Small Business,472.53370093844643,12339.410276822908,0,53,0,1
48,East,55222.37737898118,Small Business,407.64237821054587,39494.9016652879,2,15,0,1
49,South,36772.040076219884,Small Business,583.8340022985374,31191.391390038563,1,40,1,0
50,South,54334.705801018805,Personal,800.624959605346,46172.50829813799,0,51,0,0
51,East,23767.811039455435,Personal,323.9506178138564,21417.829419538553,4,22,0,1
52,South,81491.5677492358,Agriculture,721.1922484169883,49222.17464302065,0,18,0,0
53,East,22648.81069637724,Education,614.8602753662899,30912.244102131044,2,22,1,0
54,West,13071.79753949931,Small Business,533.9970141034993,48803.08802843902,0,53,0,0
55,East,46443.37250392995,Small Business,709.2442442577831,6217.72943212019,0,44,0,1
56,West,67539.20675307588,Personal,831.2034334428978,37758.93450855746,0,41,0,0
57,West,46583.09836868643,Personal,426.06341613948007,41747.96859317313,4,43,0,0
58,North,31291.642535374318,Small Business,379.0060507896658,7392.797900441941,1,51,0,0
59,East,58026.26246959187,Education,802.0849598724833,31053.634880731057,0,48,0,0
60,North,37965.22186415899,Agriculture,667.924192601517,41087.403211525176,3,24,1,0
61,East,93622.43056203015,Agriculture,540.8923118590812,30246.742635038274,2,18,0,0
62,East,92651.28826233935,Agriculture,615.2927636453558,7871.611568245999,3,35,1,0
63,North,52725.32289734907,Agriculture,710.0876478469343,36205.125840424014,1,22,0,0
64,North,36148.97943173456,Education,725.1675442881444,7726.8611602988885,2,42,0,0
65,East,75027.57932588071,Education,805.9417994504305,41786.10027573973,1,55,0,1
66,South,8487.729630891332,Education,534.7635338925925,6936.538248801247,2,25,0,0
67,West,50103.05557414687,Personal,461.37600051066727,11182.882145466687,3,55,0,1
68,North,36950.72245568168,Small Business,651.815346734413,17379.841573547084,3,37,0,0
69,West,92450.9090847427,Education,528.6503446037417,33501.415651735995,4,12,1,0
70,South,6140.287590904842,Agriculture,627.0291496719378,48936.15948340877,1,17,0,0
71,South,57517.41319324316,Education,530.9921891507727,10302.028367897048,3,42,0,0
72,South,75363.04020132947,Small Business,384.147682672996,11421.845114626329,2,54,0,0
73,North,51076.70881478392,Personal,558.1847134124271,21599.167851544113,0,54,0,0
74,South,13113.287865458558,Agriculture,680.0048020675681,42629.861198989405,0,23,0,0
75,North,97383.83205265072,Personal,739.6060942172073,26025.392873786637,0,12,1,1
76,South,54210.9909807293,Education,571.3294522381008,19472.477011511975,4,17,0,1
77,West,63347.69321030608,Agriculture,390.8808396157205,30254.172449398757,3,40,0,0
78,West,27477.929357213194,Agriculture,528.0782403071873,16723.543885058752,1,41,0,0
79,East,50932.31808514636,Education,732.461660862934,23052.195826138442,1,24,1,0
80,West,45769.20173604057,Education,527.07259883939,19967.231715441885,4,41,0,1
81,East,12115.104990188454,Small Business,683.0919364823224,41186.346008659064,2,23,0,1
82,West,15085.233587009387,Education,578.9675249229495,46591.50768971004,3,21,0,0
83,North,84559.88936378359,Education,432.6727188101682,39180.74864706103,3,50,0,1
84,West,27782.895459626074,Education,737.8827794126909,24758.760921349258,2,21,0,1
85,East,23521.0357923699,Agriculture,346.31739973887784,27695.07398734987,2,29,0,1
86,East,52966.58786876323,Small Business,588.6896555153328,10628.316226824605,3,17,0,1
87,South,78030.97747943873,Agriculture,414.8900688338727,38608.9120010542,3,19,0,0
88,North,10884.919265003853,Education,336.8860956977566,31841.405572776985,0,31,0,1
89,West,59796.752365634304,Small Business,576.6136653957869,45609.79982618464,1,52,0,0
90,South,16324.99206985447,Education,574.759185764208,14027.501460881893,0,27,0,1
91,West,8463.799828433754,Agriculture,688.7954959216465,39187.67548696754,0,13,0,0
92,West,10010.675455410652,Agriculture,709.6128811785477,35810.22477736353,1,22,0,1
93,South,84245.59027980192,Education,700.2853187810932,16963.04902143885,4,35,0,1
94,South,16207.385944665848,Small Business,525.2573031042152,35032.038779337134,4,30,0,0
95,South,9289.379619167736,Agriculture,647.4293829746093,46596.80212594923,4,15,1,0
96,South,46600.489278576664,Education,617.3198834541781,46329.61944502035,4,14,0,1
97,South,85179.37983449236,Personal,531.8589658643058,37383.19585322636,2,26,0,1
98,West,29928.795766483683,Education,628.4669818022962,7163.290064032704,0,51,0,0
99,South,45062.69866496206,Education,820.9863321884444,44251.89517940727,2,15,1,1
100,North,8792.640593556367,Small Business,406.09155902475754,34600.037315204296,2,54,0,0
101,East,47662.458842813205,Education,798.1746526820396,18969.54139322305,1,28,0,1
102,South,59873.2426605277,Personal,329.4005326907591,13426.266276756469,4,20,0,0
103,South,59236.170106453756,Education,469.61406709591336,10229.17383487927,3,36,0,0
104,West,36580.535756564685,Personal,458.4798867363405,7260.660466599244,4,12,1,0
105,South,34975.652162997874,Agriculture,644.5008093344982,38934.64615778404,0,51,0,1
106,South,15129.243798976799,Education,372.17372347750967,15612.93495244739,2,13,0,0
107,South,39845.8404613955,Small Business,785.2911865118646,6091.382121946478,0,56,0,1
108,West,14451.993542931643,Education,755.7032746557727,22877.17933288952,2,44,0,0
109,South,77826.6147476449,Personal,658.6362008269027,26717.31862665525,2,33,1,0
110,East,96796.05828607766,Personal,552.1276074857087,12615.36039050571,2,53,0,1
111,West,97157.07338333715,Small Business,813.1258231781432,6982.17512731474,3,23,0,0
112,East,87181.75444066241,Personal,756.9106050963057,13510.6467394131,4,38,0,0
113,West,62075.25418726382,Education,574.6233314446847,35559.62428264585,2,22,0,0
114,South,71582.24123816859,Personal,686.0303449498712,8700.965476304289,1,53,1,0
115,East,32094.551254639337,Education,611.8114736988265,29976.666375064724,2,25,0,0
116,West,64923.18991639896,Education,623.3682311135456,11588.5394558675,4,25,0,0
117,North,48286.70719678836,Personal,482.03683819060916,13806.012811118871,4,51,0,0
118,South,50791.64727880859,Small Business,554.1465325436932,22688.50474700144,3,54,0,1
119,West,76988.77323564001,Agriculture,342.96678693435933,9537.14012241791,2,33,0,0
120,North,31782.243781738907,Small Business,496.54178041552586,12794.15762519958,1,20,0,0
121,West,35213.76311097939,Agriculture,682.7056834491837,20702.858515310938,3,26,0,0
122,North,92840.97015722048,Small Business,824.2688167784024,19835.10524742651,3,44,1,0
123,South,10341.308010842364,Education,829.6852620196612,38717.21685540793,2,30,0,0
124,East,51135.25834926734,Education,605.6475780186904,8365.203730689096,2,42,0,0
125,North,91716.07603874686,Personal,633.6422384952701,43720.28310498546,3,29,0,0
126,West,62984.485742724915,Agriculture,402.14665202553215,41730.447683275466,3,23,0,0
127,South,56908.67205015255,Agriculture,682.419459451442,39469.62378613723,3,51,0,0
128,North,28725.697026788745,Personal,338.86233597091245,18921.75631084096,0,48,0,0
129,West,37611.17146112259,Small Business,456.57712718969447,42029.68034933544,3,56,0,0
130,West,85944.59950144583,Personal,667.5998410069933,13226.093613017636,4,12,0,1
131,West,58125.722518003524,Small Business,470.6705723489191,10598.414263476272,1,45,0,0
132,North,53900.508406894085,Personal,327.41578076294985,7023.0350070269305,1,18,0,0
133,North,14460.072786302748,Agriculture,757.5287251430301,47268.966335250916,2,13,0,0
134,North,6522.674863236696,Agriculture,470.6815039240097,18860.490396737317,3,33,0,0
135,East,96550.09292526967,Small Business,334.70787367227314,46292.80460800577,1,15,0,1
136,North,40813.68589224996,Agriculture,341.13349047657584,17267.610268369834,1,56,0,0
137,North,62305.24089945291,Agriculture,438.4673393338145,45840.468170135726,4,57,0,0
138,North,12572.931952792074,Agriculture,397.90877097183943,45676.80737807397,4,31,0,0
139,East,69895.85714368941,Agriculture,725.865064779083,46565.42202548208,0,14,0,0
140,North,93593.83732706629,Education,476.92622566686896,27326.904767788717,0,20,0,0
141,West,59688.19903475487,Personal,742.5826817719079,43967.58290595014,1,29,0,0
142,North,16980.955625664006,Personal,395.61529880273406,47784.46532752941,2,27,0,0
143,West,60263.54510998029,Education,571.0835487492461,19607.762385373077,1,20,0,0
144,West,77802.98524494197,Agriculture,678.4204234542208,23849.34825571498,2,30,0,0
145,West,43609.57097453177,Personal,658.5949696262202,37365.80843010848,1,17,0,1
146,East,88584.58605443945,Personal,630.6211754616478,18516.19197754854,4,55,0,0
147,East,66624.88056894962,Personal,808.6518810621434,38921.41890106965,3,26,0,0
148,East,90428.64723747424,Small Business,425.6888312387094,8325.146534609026,1,17,1,1
149,North,64233.00456849703,Education,571.545562454158,28557.4272929844,0,16,0,1
150,West,17472.3573404583,Small Business,786.1959025398248,10504.106783768533,2,40,0,1
151,East,34420.71255499296,Small Business,342.84157107733637,18199.55643965044,2,57,0,0
152,East,24170.520083983407,Education,330.73854753919136,16638.142661891237,1,38,0,0
153,North,91338.51728310192,Personal,428.31625815706025,42751.94331031998,2,56,0,0
154,East,77238.00639231085,Small Business,648.1616707459102,13708.276493278885,0,52,0,1
155,North,69257.84504645057,Personal,442.9337945473938,41380.15640716035,4,37,0,0
156,South,33591.80036500406,Small Business,404.63193609483943,40728.21556585649,3,39,0,0
157,East,22484.253344770284,Personal,552.3412734470606,27449.737500075345,3,43,0,1
158,South,76862.85335894662,Agriculture,637.4789378231762,15522.946501825832,2,36,0,1
159,North,50045.00485851257,Agriculture,436.70673885920723,15210.335298030022,1,18,0,0
160,West,26450.007454309765,Agriculture,465.38015269805817,25921.60912021315,2,41,0,0
161,East,63579.08792570113,Education,637.4576176463327,5396.405332708234,0,42,0,0
162,North,8831.715953152938,Agriculture,820.1561320941989,28910.783957511478,1,23,0,0
163,West,35986.174142184085,Small Business,671.1079500909485,47875.078659517494,4,20,0,1
164,West,49512.91448615779,Personal,730.597278971508,11961.809683816842,0,45,0,0
165,South,19056.041740393557,Personal,501.74555211550785,30800.552966402152,4,14,0,0
166,North,98542.17537112976,Personal,449.7398976614563,48280.040989000554,1,48,0,1
167,West,24864.249636013355,Personal,549.8472587614424,43723.49627712201,4,39,0,0
168,East,17383.547354110226,Small Business,743.9230557914206,43267.105237160315,0,57,1,0
169,East,24335.813019255158,Personal,550.9648029848057,41983.24686782851,0,33,0,0
170,South,78060.8076501738,Small Business,765.6989748344236,18906.062272528354,2,37,0,1
171,West,45423.03763082506,Small Business,843.8245893823199,45077.75740700655,1,30,0,0
172,North,58714.514276491114,Personal,339.614666151685,47360.3158054927,3,32,1,1
173,East,6995.86991370427,Personal,324.975585846037,27310.65904845677,3,48,0,0
174,West,8270.974314464882,Personal,382.27433660234897,20955.697126675645,4,21,0,1
175,West,47353.42723356654,Small Business,511.40332165389043,23640.305702263526,3,27,0,0
176,South,82582.24810415423,Education,372.0732150299878,20039.28988240695,3,35,0,0
177,East,89097.6934772187,Small Business,778.8654626903158,14558.829891104304,0,36,0,0
178,East,13237.12392158582,Education,312.7304380648851,32830.181161380024,0,37,0,1
179,North,56144.49469959716,Personal,473.68599398470235,30316.85988103953,0,12,0,0
180,East,91756.8201965307,Small Business,401.58204622181296,25816.3281967674,3,15,0,0
181,North,41857.411667799206,Personal,812.3466315866427,9313.04240081743,4,48,0,1
182,East,83808.75398569502,Education,668.2145526895154,40860.18341176999,1,54,0,0
183,South,17701.08716794644,Education,801.616641048256,12872.010323785515,2,25,0,1
184,East,93862.47651844088,Small Business,834.7807906707163,10155.291952822166,4,35,1,0
185,North,76385.21516547375,Small Business,573.4040340225531,33038.21279673264,0,38,0,0
186,North,94426.76731475566,Small Business,428.8755094264144,22938.996255697544,4,54,0,1
187,South,69278.63718748812,Small Business,406.5508324081241,7691.381390854826,1,38,0,0
188,East,39523.37353994556,Agriculture,422.60537392721227,21000.57597324762,0,35,0,1
189,East,94127.21138984863,Agriculture,689.7263191921015,39730.11585282333,1,51,1,0
190,South,31178.843749371954,Personal,322.24515046765043,32686.21423476939,2,12,0,0
191,East,36556.38959586459,Education,328.2485901679932,21325.371034414857,4,50,1,0
192,East,71576.79971016533,Education,634.4786183107326,13631.215623556463,2,24,0,0
193,North,77705.0484549117,Personal,653.1314307055736,33430.80293621479,3,31,0,0
194,East,93293.33096566961,Personal,665.894608377353,44939.98854258599,4,49,1,0
195,East,24456.228860339903,Personal,504.53427752372517,34082.27231071612,3,47,0,0
196,South,80809.81334582627,Agriculture,743.2696887927842,41580.67345926009,1,23,0,1
197,South,75161.87507271153,Personal,593.4935232496397,28468.752734946695,3,16,0,0
198,West,11060.482844091797,Education,358.0060965051807,37308.699803346295,1,16,1,1
199,North,41786.19841496966,Personal,738.4046188870399,45330.20482002586,2,28,0,1
200,East,31862.718420709367,Small Business,824.1872824487521,39793.05402163948,0,49,0,1
201,East,33926.590313632885,Education,333.0199721512973,45943.427902916555,2,21,0,0
202,West,98379.95355769659,Education,515.243236285319,24401.282095222694,3,27,0,1
203,East,66063.85428059315,Education,568.1338246591113,45689.91148071755,1,35,0,0
204,North,73179.23499038247,Agriculture,380.5589180430743,32970.52555167684,3,40,1,0
205,West,97778.67554492588,Agriculture,777.2399212805824,44152.194473676216,0,25,0,1
206,North,40834.16933347568,Education,456.2823046895242,6771.943869702593,4,21,0,0
207,West,81174.81600301656,Small Business,730.654696965988,34603.357186109126,4,40,0,0
208,West,46280.44151392706,Education,669.0469651155738,43158.87854950544,4,39,0,0
209,South,87605.69882242307,Agriculture,628.9252023568629,12839.09151394399,3,28,1,0
210,North,22162.466424573802,Small Business,405.67856678310494,34780.41200592154,4,16,0,0
211,East,95030.18682110656,Education,421.38693630299815,42122.962139748415,1,13,0,1
212,East,25783.31229903357,Agriculture,326.0416226106131,17957.721633468667,0,47,0,0
213,North,35990.9481631885,Small Business,432.3918363802465,23236.08475578764,2,51,0,0
214,East,76838.26224014415,Personal,489.99398520328276,30628.297332464874,1,57,0,0
215,East,42406.73844871364,Personal,758.229917124334,28362.545999805294,0,56,0,0
216,North,62780.080792812434,Education,501.5159666931429,6763.522686671104,2,50,0,0
217,West,47234.48260159571,Personal,715.0419805210836,9440.244413843604,4,20,1,0
218,North,75525.14402352927,Agriculture,541.6932547125182,9520.996068696259,2,47,0,0
219,West,26691.46897501803,Small Business,731.6775715966387,16802.055747462873,3,16,0,0
220,East,10553.508787503317,Education,836.949380240372,16063.885076110217,3,26,0,0
221,East,33493.292759941294,Small Business,431.91285693166907,38400.007270405986,4,20,0,0
222,East,50059.32316250088,Small Business,774.287886580132,30773.497370726505,4,36,0,1
223,South,20961.90495830446,Small Business,642.0032474681761,39378.92380903585,1,39,0,0
224,West,38705.74251735693,Agriculture,749.5118438737602,8145.322583489156,1,38,1,0
225,South,42998.38673788901,Education,658.3722462472929,26834.64068622203,3,57,1,1
226,South,10452.225150385988,Personal,533.1722290007826,19569.901066937127,0,58,0,0
227,North,60414.18857749943,Small Business,425.4412166929847,43247.26898400859,1,44,0,1
228,South,89012.6256572723,Small Business,338.51937393214075,36850.51206094565,0,44,0,0
229,North,19415.57673053998,Small Business,594.5351004533943,44116.631187205836,3,49,0,0
230,North,61791.761273143835,Agriculture,844.679351989776,7089.220508272703,1,19,1,0
231,South,68150.2244665304,Personal,705.9229927578135,37437.05703049702,0,15,0,0
232,West,44836.79463983239,Small Business,480.04004776945914,29300.37584718101,0,59,0,0
233,West,71604.27079960564,Agriculture,754.9626400477043,42125.00130570046,1,54,0,0
234,West,44019.49663164614,Agriculture,722.9412000970236,27822.226591661944,4,47,0,0
235,West,52940.54235785631,Small Business,454.89968634440123,29309.408505585903,2,54,0,0
236,West,5698.539232670563,Small Business,307.8691193868291,7329.532142392931,4,42,0,0
237,South,70713.41084279543,Agriculture,364.98945119367227,35083.5289266185,2,21,0,1
238,South,67827.55449974882,Agriculture,782.5184046716317,17291.29440222725,0,52,1,1
239,East,8648.083346002733,Small Business,760.1096694176795,5886.226498046922,1,53,0,0
240,West,39983.76020253764,Agriculture,462.36495048309934,7989.672312771352,3,19,0,0
241,South,98008.0248752084,Agriculture,456.8574844564312,48077.85240347115,1,41,0,1
242,East,44969.97344401859,Small Business,736.0757429063591,20573.478031093113,4,25,0,1
243,West,52684.81348752496,Small Business,815.7556084424822,44063.403287952155,2,56,0,0
244,North,91443.36502517326,Education,728.5254912386799,48185.475533116514,1,46,0,0
245,East,73139.87820724686,Personal,633.0682723669188,47447.023497679525,2,57,1,0
246,South,60296.66245680124,Small Business,433.4692426824925,44677.635831473905,4,57,0,0
247,North,80791.44472740189,Small Business,589.1613527523934,45267.97606075854,4,14,0,1
248,North,87114.79531331746,Small Business,428.43152222629556,18005.36199534282,1,40,0,0
249,North,48404.366815040354,Personal,744.4062810532255,11816.145061716123,3,27,0,0
250,East,50135.29466852436,Education,512.8285937347555,33766.81529395656,3,21,0,1
251,South,41674.8388869244,Agriculture,758.5334693467144,26964.751634097072,2,15,1,0
252,North,96837.08330175375,Personal,509.8850698904989,9443.602341282698,1,15,0,0
253,West,71230.79415758328,Small Business,753.2821728599401,35489.35922100849,0,13,0,1
254,North,12906.191289766868,Small Business,483.32479834088304,30328.700336814803,4,22,0,1
255,North,86981.16421473675,Education,542.0729875397184,43838.03303646976,2,26,0,0
256,East,50653.194379445464,Education,638.5186306384617,32413.27080597794,4,22,0,0
257,East,11531.621110136308,Education,338.65818771645525,30827.578087478916,2,34,0,0
258,South,57223.13924051455,Agriculture,821.5138839985054,24833.827549968257,1,49,0,1
259,West,44630.6065026917,Personal,615.4831823680918,25825.418144999163,2,41,0,1
260,East,88386.19346194937,Personal,579.3010080799413,47947.15521406022,2,12,0,0
261,North,24379.4873428918,Education,761.6666841159516,11230.07042301077,0,56,1,0
262,South,83514.13790175738,Agriculture,776.1695014432552,25079.846836198423,2,44,1,0
263,North,57980.42566261801,Personal,587.2432224909588,34512.22552670793,3,56,0,0
264,North,10187.97880527956,Small Business,809.9942791865005,24485.47905156798,2,48,0,0
265,East,97325.30362592103,Small Business,335.6057713420644,17744.7032168341,2,34,0,0
266,South,53698.448189803996,Small Business,362.27418573816965,17931.08168432847,1,59,0,0
267,West,32633.30115200034,Personal,628.2335265079421,15514.522081597208,2,29,1,1
268,West,49593.649988979516,Education,494.73622398647103,20475.644026239035,0,21,0,0
269,East,86496.48943416146,Small Business,555.3238414040593,44225.36490126052,1,28,0,0
270,East,33965.79681658103,Education,480.4435698434416,27735.104764534783,4,18,0,0
271,South,23304.25766623653,Agriculture,522.5989212947146,15810.74276350183,3,26,0,0
272,West,17261.76845843374,Small Business,752.4554909304647,22303.70226619396,3,38,0,0
273,West,33296.64284707007,Agriculture,626.4119099198676,9762.368543535562,4,20,0,1
274,West,79104.56826880413,Education,848.539502105924,45681.60828824321,2,32,1,1
275,North,49804.50469354986,Personal,732.7835588015296,23368.90244411444,0,48,0,1
276,West,26610.752350886298,Education,450.5164397560047,49117.604206688404,0,40,0,0
277,North,20787.574962926174,Small Business,445.38981474968296,20639.244796813364,0,53,0,0
278,South,36609.30026848601,Small Business,484.74404856435393,42636.02212522045,0,56,0,1
279,North,94292.81542414235,Education,763.7927143562586,16537.339098115393,2,44,0,0
280,South,37587.53769605231,Small Business,315.0082078578111,8426.8802019921,4,17,0,1
281,West,98871.78721569036,Small Business,426.59970337919174,6428.001275321031,4,36,0,1
282,West,51096.89329770883,Agriculture,797.7051311893468,32277.57919901526,3,46,0,0
283,South,22020.572237564335,Personal,651.9430398457886,19020.815225311522,4,28,0,0
284,East,89658.30872038339,Education,424.76590252558105,24958.394621412277,0,55,0,0
285,South,48733.760447808556,Agriculture,420.5297325279192,41839.11660203579,2,38,0,0
286,East,72418.77763292982,Small Business,774.4399559676867,16164.863856266096,1,54,0,1
287,North,98452.60040486942,Agriculture,791.5666295523756,18889.3614530711,1,51,0,0
288,North,9766.658280397529,Personal,440.8721000291634,43040.12832764003,0,36,0,0
289,North,14185.983179818877,Education,531.2806969420927,27174.302300457683,3,23,0,1
290,West,73443.39043896184,Personal,759.0276562455745,42244.93251736194,1,54,0,0
291,North,31773.37531306984,Personal,724.054091235437,21851.420155984237,0,48,0,1
292,East,22508.63271025941,Agriculture,747.6538586113465,22926.649137219883,2,51,0,0
293,North,8739.378582874302,Agriculture,585.1190049333828,12521.226280021532,1,55,0,1
294,South,7075.437638689171,Personal,801.3519765678452,46235.56341177349,0,49,0,0
295,South,78576.13229638014,Small Business,479.2733491749394,45355.266230567424,1,52,0,0
296,West,17771.17560010725,Education,386.16967389113495,49289.765655414805,2,36,0,0
297,South,49433.458517259336,Small Business,689.8027829106757,23110.12072263702,4,13,0,0
